単語A,単語B,類似度
関東,関西,0.7552338670281852
北,西,0.818989671306523
海,山,0.7102969980315794
長崎,福岡,0.7406691703356508
福岡,長崎,0.7406691703356508
福岡,東京,0.7367493216623424
東京,福岡,0.7367493216623424
いろいろ,色々,0.7147815817895989
関西,関東,0.7552338670281852
関西,九州,0.7193674742629778
九州,関西,0.7193674742629778
山,海,0.7102969980315794
西,北,0.818989671306523
色々,いろいろ,0.7147815817895989
